itemID	titleID	item_year	title	subject	taxa_identified	language	pages	BHL_upload
176718	98230	1895	From 13th June 1895 to 7th July 1895, dr 3601, hyd 3533-3580	Marine biology	0		103	2015
222663	44913	1874	Wissenschaftliche Meeresuntersuchungen.	Marine animals	887	GER	838	2017
47705	12914	1893	Forschungsberichte aus der Biologischen Station zu Plön.	Marine biology	270	GER	74	2009
40830	6082	1942	Scientific results of cruise VII of the Carnegie during 1928-1929 under command of Captain J. P. Ault : Biology. 	Marine biology	560	ENG	254	2009
201284	15917	1895	Transactions of the American Fisheries Society		27	ENG	576	2016
99730	45888	1949	Commercial fisheries review.		3	ENG	24	2010
42116	10850	1896	An illustrated flora of the northern United States, Canada and the British possesions from Newfoundland to the parallel of the southern boundary of Virginia and from the Atlantic Ocean westward to the 102d meridian.  Vol. 3, Apocynaceae to Compositae, dogbane to thistle  		2127	ENG	636	2009
54167	11627	1908	Marine investigations in South Africa	Marine biology	513	ENG	304	2009
54207	15714	1885	Transactions of the American Fisheries Society		162	ENG	434	2009
51911	15159	1949	Wildlife and fishery values of bottomland lakes in Illinois		3	ENG	32	2009
286488	173546	1929	Preliminary report on the international control of fisheries on the high seas : with particular reference to the Pacific		4	ENG	44	2020
43042	11274	1872	On some remarkable forms of animal life from the great deeps off the Norwegian coast...	Marine animals	213	ENG	240	2009
100003	45888	1953	Commercial fisheries review.		25	ENG	82	2010
41337	10456	1883	Sea fables explained		94	ENG	136	2009
67022	25371	1898	Guide to localities illustrating the geology, marine zoology, and botany of the vicinity of Boston. Ed. by A.W. Grabau and J.E. Woodman		322	ENG	136	2009
54489	16122	1882	Notes on the shrimp and prawn fisheries of the United States		12	ENG	32	2009
100899	46534	1959	Fisheries of the United States		16	ENG	152	2010
120868	59155	1854	The ocean 	Marine animals	116	ENG	397	2012
201114	115790	1865	A year at the shore	Marine animals	172	ENG	424	2016
176800	98294	1904	#3 eastern Pacific, dr 4672 to dr 4702, Nov 21st to Dec'r 26th 1904	Marine biology	0		107	2015
52114	15243	1874	The depths of the sea; an account of the general results of the  dredging cruises of H.M. SS. 'Porcupine' and 'Lightning' during the summers of 1868, 1869 and 1870, under the scientific direction of Dr. Carpenter, J. Gwyn Jeffreys, and Dr. Wyville Thomson.	Marine sediments	478	ENG	592	2009
69228	26896	1855	Mollusca testacea marium britannicorum : a history of the British marine testaceous Mollusca distributed in their natural order, on the basis of the organization of the animals : with references and notes on every British species		1028	ENG	556	2009
35050	8245	1907	L.M.B.C. memoirs on typical British marine plants and animals	Marine biology	31	ENG	64	2008
177157	98472	1911	Hy 4954-5002, d 5700-5713	Marine biology	1		103	2015
176853	98312	1908	Annual report of the Fishery Board for Scotland.		107	ENG	292	2015
29098	6206	1908	The Biological bulletin	Marine biology	193	ENG	328	2008
295617	180470	1887	Albatross copepods, notes and specimen lists	Marine biology	599	ENG	200	2021
176797	98291	1904	#9 California coast, #1 eastern Pacific, dr 4549 to dr 4622, hy 4804 to hy, June 7th to Oct'r 24th 1904	Marine biology	0		104	2015
177167	98481	1909	No 12, 5565-5610, albatross	Marine biology	1		103	2015
130424	64258	1881	Sea mosses, a collector's guide and an introduction to the study of marine Algae. 	Marine algae	252	ENG	368	2013
216748	124032	1928	Whitney South Sea Expedition.		180	ENG	540	2017
136963	68741	1800	Two papers published in the fifth volume of the Linnaean Transactions	Marine algae	70	ENG	24	2013
100986	46676	1892	Special bulletin	Marine fishes	392	ENG	490	2010
108881	51153	1930	Report of the Department of Fisheries of the Commonwealth of Pennsylvania. 		92	ENG	53	2011
70890	10543	1879	Manual of conchology, structural and systematic : with illustrations of the species	Marine invertebrates	717	ENG	530	2009
85144	37976	1775	Remarques sur la carte réduite des parties connues du globe terrestre dressée au dépôt des cartes, plans & journaux de la marine ... par ordre de M. de Machault		4	FRE	23	2009
276717	161773	1785	A voyage to the Pacific Ocean : undertaken, by the command of His Majesty, for making discoveries in the northern hemisphere : performed under the direction of Captains Cook, Clerke, and Gore, in His Majesty's ships the Resolution and Discovery; in the years 1776, 1777, 1778, 1779, and 1780 : in three volumes		32	ENG	614	2020
26336	5625	1956	How to know the seaweeds	Marine algae	491	ENG	214	2008
18687	2171	1908	Wissenschaftliche Ergebnisse der Deutschen Tiefsee-Expedition auf dem Dampfer "Valdivia" 1898-1899	Marine animals	278	GER	264	2008
